Mission,Launch site / base (or coordinates),Destination station,Launch (UTC),Mission duration,Landing site (or coordinates),Rocket type,Source URL
Vostok 1,"Baikonur , Site 1/5 45°55′13″N 63°20′32″E ﻿ / ﻿ 45.920278°N 63.342222°E ﻿ / 45.920278; 63.342222",,"April 12, 1961, 06:07 ( 1961-04-12UTC06:07Z ) UTC","1 hour, 48 minutes 1 hour, 46 minutes",51°16′14″N 45°59′50″E ﻿ / ﻿ 51.270682°N 45.99727°E ﻿ / 51.270682; 45.99727 (51.270682; 45.99727),Vostok-K 8K72K,https://en.wikipedia.org/wiki/Vostok%201
Vostok 2,Baikonur 1/5,,"August 6, 1961, 06:00 ( 1961-08-06UTC06Z ) UTC","1 day, 1 hour, 18 minutes",Krasny Kut 50°51′10″N 47°01′14″E ﻿ / ﻿ 50.85276°N 47.02048°E ﻿ / 50.85276; 47.02048 (50.85276; 47.02048),Vostok-K 8K72K,https://en.wikipedia.org/wiki/Vostok%202
Mercury-Atlas 6,Cape Canaveral LC-14,,"February 20, 1962, 14:47:39 ( 1962-02-20UTC14:47:39Z ) UTC","4 hours, 55 minutes, 23 seconds",North Atlantic Ocean 21°20′N 68°40′W ﻿ / ﻿ 21.333°N 68.667°W ﻿ / 21.333; -68.667 (21.333; -68.667),Atlas LV-3B 109-D,https://en.wikipedia.org/wiki/Mercury-Atlas%206
STS-95,"Kennedy , LC-39B",,"29 October 1998, 19:19:34 ( 1998-10-29UTC19:19:34Z ) UTC","9 days, 19 hours, 54 minutes, 2 seconds","Kennedy, SLF Runway 33",,https://en.wikipedia.org/wiki/STS-95
Mercury-Atlas 7,Cape Canaveral LC-14,,"May 24, 1962, 12:45:16 ( 1962-05-24UTC12:45:16Z ) UTC","4 hours, 56 minutes, 5 seconds","North-east of Puerto Rico , Caribbean Sea",Atlas LV-3B 107-D,https://en.wikipedia.org/wiki/Mercury-Atlas%207
Vostok 3,,,,,,,https://en.wikipedia.org/wiki/Vostok%203
Soyuz 9,"Baikonur , Site 31/6",,"1 June 1970, 19:00:00 GMT","17 days, 16 hours, 58 minutes, 55 seconds",Steppes in Kazakhstan,Soyuz,https://en.wikipedia.org/wiki/Soyuz%209
Vostok 4,,,,,,,https://en.wikipedia.org/wiki/Vostok%204
Soyuz 14,Baikonur 1/5,,"3 July 1974, 18:51:08 UTC","15 days, 17 hours and 30 minutes","140 km (87 mi) at the southeast of Dzhezkazgan , Kazakhstan",Soyuz 11A511,https://en.wikipedia.org/wiki/Soyuz%2014
Mercury-Atlas 8,Cape Canaveral LC-14,,"October 3, 1962, 12:15:12 ( 1962-10-03UTC12:15:12Z ) UTC","9 hours, 13 minutes, 15 seconds",Central Pacific Ocean,Atlas LV-3B 113-D,https://en.wikipedia.org/wiki/Mercury-Atlas%208
Gemini 6A,Cape Kennedy LC-19,,"December 15, 1965, 13:37:26 ( 1965-12-15UTC13:37:26Z ) UTC","1 day, 1 hour, 51 minutes, 24 seconds",North Atlantic Ocean 23°35′N 67°50′W ﻿ / ﻿ 23.583°N 67.833°W ﻿ / 23.583; -67.833 (23.583; -67.833),"Titan II GLV , s/n 62-12561",https://en.wikipedia.org/wiki/Gemini%206A
Apollo 7,Cape Kennedy LC-34,,"October 11, 1968, 15:02:45 ( 1968-10-11UTC15:02:45Z ) UTC","10 days, 20 hours, 9 minutes, 3 seconds",North Atlantic Ocean 27°32′N 64°04′W ﻿ / ﻿ 27.533°N 64.067°W ﻿ / 27.533; -64.067 ﻿ ( Apollo 7 splashdown ) (27.533; -64.067),Saturn IB SA-205,https://en.wikipedia.org/wiki/Apollo%207
Mercury-Atlas 9,Cape Canaveral LC-14,,"May 15, 1963, 13:04:13 ( 1963-05-15UTC13:04:13Z ) UTC","34 hours, 19 minutes, 49 seconds","South-east of Midway Island , Pacific Ocean",Atlas LV-3B 130-D,https://en.wikipedia.org/wiki/Mercury-Atlas%209
Gemini 5,Cape Kennedy LC-19,,"August 21, 1965, 13:59:59 ( 1965-08-21UTC13:59:59Z ) UTC","7 days, 22 hours, 55 minutes, 14 seconds",29°47′N 69°45′W ﻿ / ﻿ 29.783°N 69.750°W ﻿ / 29.783; -69.750 ﻿ ( Gemini 5 splashdown ) (29.783; -69.750),"Titan II GLV , s/n 62-12560",https://en.wikipedia.org/wiki/Gemini%205
Vostok 5,Baikonur 1/5,,"14 June 1963, 11:58:58 ( 1963-06-14UTC11:58:58Z ) UTC","4 days, 23 hours, 7 minutes",53°23′52″N 67°36′18″E ﻿ / ﻿ 53.39777°N 67.60500°E ﻿ / 53.39777; 67.60500 (53.39777; 67.60500),Vostok-K 8K72K,https://en.wikipedia.org/wiki/Vostok%205
Soyuz 22,"Baikonur , Site 1/5",,"15 September 1976, 09:48:30 UTC",7 days 21 hours 52 minutes 17 seconds,"150 km at the northwest of Tselinograd , Kazakhstan",Soyuz-U,https://en.wikipedia.org/wiki/Soyuz%2022
Soyuz 31/29,Baikonur 1/5,,"26 August 1978, 14:51:30 ( 1978-08-26UTC14:51:30Z ) UTC","Capsule: 67 days, 20 hours and 12 minutes Original crew: 7 days, 20 hours and 49 minutes",140 km (87 mi) SE of Dzhezkazgan,Soyuz-U,https://en.wikipedia.org/wiki/Soyuz%2031
Vostok 6,Baikonur 1/5,,"16 June 1963, 09:29:52 ( 1963-06-16UTC09:29:52Z ) UTC","2 days, 22 hours, 50 minutes",53°12′34″N 80°48′14″E ﻿ / ﻿ 53.209375°N 80.80395°E ﻿ / 53.209375; 80.80395 (53.209375; 80.80395),Vostok-K 8K72K,https://en.wikipedia.org/wiki/Vostok%206
Voskhod 1,Baikonur 1/5,,"12 October 1964, 07:30:01 ( 1964-10-12UTC07:30:01Z ) UTC","1 day, 17 minutes, 3 seconds",52°2′N 68°8′E ﻿ / ﻿ 52.033°N 68.133°E ﻿ / 52.033; 68.133 (52.033; 68.133),Voskhod 11A57,https://en.wikipedia.org/wiki/Voskhod%201
Soyuz 1,"Baikonur , Site 1/5",,"23 April 1967, 00:35:00 GMT",1 day 2 hours 47 minutes 52 seconds,"3 km west of Karabutak, Orenburg Oblast , Russian SFSR , Soviet Union",Soyuz 11A511 s/n U15000-04,https://en.wikipedia.org/wiki/Soyuz%201
Voskhod 2,Baikonur 1/5,,"18 March 1965, 07:00:00 ( 1965-03-18UTC07Z ) UTC","1 day, 2 hours, 2 minutes, 17 seconds",59°34′N 55°28′E ﻿ / ﻿ 59.567°N 55.467°E ﻿ / 59.567; 55.467 (59.567; 55.467),Voskhod 11A57,https://en.wikipedia.org/wiki/Voskhod%202
Soyuz 19,,,,,,,https://en.wikipedia.org/wiki/Soyuz%2019
Gemini 3,Cape Kennedy LC-19,,"March 23, 1965, 14:24:00 ( 1965-03-23UTC14:24Z ) UTC","4 hours, 52 minutes, 31 seconds",22°26′N 70°51′W ﻿ / ﻿ 22.433°N 70.850°W ﻿ / 22.433; -70.850 ﻿ ( Gemini 3 splashdown ) (22.433; -70.850),"Titan II GLV , s/n 62-12558",https://en.wikipedia.org/wiki/Gemini%203
Gemini 10,Cape Kennedy LC-19,,"July 18, 1966, 22:20:26 ( 1966-07-18UTC22:20:26Z ) UTC","2 days, 22 hours, 46 minutes, 39 seconds",26°45′N 71°57′W ﻿ / ﻿ 26.750°N 71.950°W ﻿ / 26.750; -71.950 ﻿ ( Gemini 10 splashdown ) (26.750; -71.950),"Titan II GLV , s/n #62-12565",https://en.wikipedia.org/wiki/Gemini%2010
Apollo 10,"Kennedy , LC-39B",,"May 18, 1969, 16:49:00 ( 1969-05-18UTC16:49Z ) UTC","8 days, 3 minutes, 23 seconds",Pacific Ocean near American Samoa ( 15°2′S 164°39′W ﻿ / ﻿ 15.033°S 164.650°W ﻿ / -15.033; -164.650 ﻿ ( Apollo 10 splashdown ) ) (-15.033; -164.650),Saturn V SA-505,https://en.wikipedia.org/wiki/Apollo%2010
Apollo 16,Kennedy LC-39 A,,"April 16, 1972, 17:54:00 ( 1972-04-16UTC17:54Z ) UTC","11 days, 1 hour, 51 minutes, 5 seconds",South Pacific Ocean 0°43′S 156°13′W ﻿ / ﻿ 0.717°S 156.217°W ﻿ / -0.717; -156.217 ﻿ ( Apollo 16 splashdown ) (-0.717; -156.217),Saturn V SA-511,https://en.wikipedia.org/wiki/Apollo%2016
STS-1,"Kennedy , LC-39A",,"April 12, 1981, 12:00:04 ( 1981-04-12UTC12:00:04Z ) UTC (07:00:04 am EST )","2 days, 6 hours, 20 minutes, 53 seconds","Edwards , Runway 23",,https://en.wikipedia.org/wiki/STS-1
STS-9,"Kennedy , LC-39A",,"November 28, 1983, 16:00:00 ( 1983-11-28UTC16Z ) UTC (11:00 am EST )","10 days, 12 hours, 47 minutes, 24 seconds","Edwards , Runway 17",,https://en.wikipedia.org/wiki/STS-9
Gemini 4,Cape Kennedy LC-19,,"June 3, 1965, 15:15:59 ( 1965-06-03UTC15:15:59Z ) UTC","4 days, 1 hour, 56 minutes, 12 seconds",North Atlantic Ocean 27°44′N 74°11′W ﻿ / ﻿ 27.733°N 74.183°W ﻿ / 27.733; -74.183 (27.733; -74.183),"Titan II GLV , s/n 62-12559",https://en.wikipedia.org/wiki/Gemini%204
Apollo 9,"Kennedy , LC-39A",,"March 3, 1969, 16:00:00 ( 1969-03-03UTC16Z ) UTC","10 days, 1 hour, 54 seconds",North Atlantic Ocean ( 23°15′N 67°56′W ﻿ / ﻿ 23.250°N 67.933°W ﻿ / 23.250; -67.933 ﻿ ( Apollo 9 splashdown ) ) (23.250; -67.933),Saturn V SA-504,https://en.wikipedia.org/wiki/Apollo%209
Gemini 11,"Cape Kennedy , LC-19",,"September 12, 1966, 14:42:26 ( 1966-09-12UTC14:42:26Z ) UTC (9:42:26 am EST )","2 days, 23 hours, 17 minutes and 9 seconds",Atlantic Ocean ( 24°15′N 70°0′W ﻿ / ﻿ 24.250°N 70.000°W ﻿ / 24.250; -70.000 ﻿ ( Gemini 11 splashdown ) ) (24.250; -70.000),Titan II GLV,https://en.wikipedia.org/wiki/Gemini%2011
Apollo 12,"Kennedy , LC-39A",,"November 14, 1969, 16:22:00 ( 1969-11-14UTC16:22Z ) UTC (11:22 am EST )","10 days, 4 hours, 36 minutes, 24 seconds",South Pacific Ocean ( 15°46.6′S 165°9′W ﻿ / ﻿ 15.7767°S 165.150°W ﻿ / -15.7767; -165.150 ﻿ ( Apollo 12 splashdown ) ) (-15.7767; -165.150),Saturn V SA-507,https://en.wikipedia.org/wiki/Apollo%2012
Skylab 2,"Kennedy , LC-39B",,"13:00, May 25, 1973 (UTC) ( 1973-05-25T13:00:00Z )","28 days, 49 minutes, 49 seconds",24°45′N 127°2′W ﻿ / ﻿ 24.750°N 127.033°W ﻿ / 24.750; -127.033 (24.750; -127.033),Saturn IB SA-206,https://en.wikipedia.org/wiki/Skylab%202
Gemini 7,"Cape Kennedy , LC-19",,"December 4, 1965, 19:30:03 ( 1965-12-04UTC19:30:03Z ) UTC","13 days, 18 hours, 35 minutes, 1 second",Atlantic Ocean southwest of Bermuda ( 25°25′N 70°06′W ﻿ / ﻿ 25.42°N 70.10°W ﻿ / 25.42; -70.10 ﻿ ( Gemini 7 splashdown ) ) (25.42; -70.10),"Titan II GLV , s/n 62-12562",https://en.wikipedia.org/wiki/Gemini%207
Apollo 8,"Kennedy , LC-39A",,"December 21, 1968, 12:51:00 ( 1968-12-21UTC12:51Z ) UTC (7:51 am EST )","6 days, 3 hours, 42 seconds","North Pacific Ocean, southwest of Hawaii , ( 8°8′N 165°1′W ﻿ / ﻿ 8.133°N 165.017°W ﻿ / 8.133; -165.017 ﻿ ( Apollo 8 landing ) ) (8.133; -165.017)",Saturn V SA-503,https://en.wikipedia.org/wiki/Apollo%208
Gemini 12,Cape Kennedy LC-19,,"November 11, 1966, 20:46:33 ( 1966-11-11UTC20:46:33Z ) UTC","3 days, 22 hours, 34 minutes, 31 seconds",24°35′N 69°57′W ﻿ / ﻿ 24.583°N 69.950°W ﻿ / 24.583; -69.950 (24.583; -69.950),Titan II GLV,https://en.wikipedia.org/wiki/Gemini%2012
Apollo 13,Kennedy LC-39A,,"April 11, 1970, 19:13:00 ( 1970-04-11UTC19:13Z ) UTC","5 days, 22 hours, 54 minutes, 41 seconds",South Pacific Ocean 21°38′24″S 165°21′42″W ﻿ / ﻿ 21.64000°S 165.36167°W ﻿ / -21.64000; -165.36167 ﻿ ( Apollo 13 splashdown ) (-21.64000; -165.36167),Saturn V SA-508,https://en.wikipedia.org/wiki/Apollo%2013
gemini 6A,Cape Kennedy LC-19,,"December 15, 1965, 13:37:26 ( 1965-12-15UTC13:37:26Z ) UTC","1 day, 1 hour, 51 minutes, 24 seconds",North Atlantic Ocean 23°35′N 67°50′W ﻿ / ﻿ 23.583°N 67.833°W ﻿ / 23.583; -67.833 (23.583; -67.833),"Titan II GLV , s/n 62-12561",https://en.wikipedia.org/wiki/gemini%206A
Gemini 9A,Cape Kennedy LC-19,,"June 3, 1966, 13:39:33 ( 1966-06-03UTC13:39:33Z ) UTC","3 days, 20 minutes, 50 seconds",27°52′N 75°0′W ﻿ / ﻿ 27.867°N 75.000°W ﻿ / 27.867; -75.000 (27.867; -75.000),"Titan II GLV , s/n #62-12564",https://en.wikipedia.org/wiki/Gemini%209A
Apollo–Soyuz,"Soyuz: Baikonur , Site 1/5 Apollo: Kennedy , LC‑39B",,"Soyuz: 15 July 1975, 12:20:00 ( 1975-07-15UTC12:20Z ) UTC Apollo: 15 July 1975, 19:50:00 ( 1975-07-15UTC19:50Z ) UTC","Soyuz: 5 days, 22 hours, 30 minutes Apollo: 9 days, 1 hour, 28 minutes","Soyuz: Kazakh Steppe ( 50°47′N 67°7′E ﻿ / ﻿ 50.783°N 67.117°E ﻿ / 50.783; 67.117 ﻿ ( Apollo–Soyuz Test Project landing ) ) Apollo: Pacific Ocean , near Hawaii ( 22°0′36″N 163°0′45″W ﻿ / ﻿ 22.01000°N 163.01250°W ﻿ / 22.01000; -163.01250 ﻿ ( Apollo–Soyuz Test Project landing ) ) (50.783; 67.117)",Soyuz: Soyuz-U Apollo: Saturn IB (SA-210),https://en.wikipedia.org/wiki/Apollo%E2%80%93Soyuz
Gemini 8,Cape Kennedy LC-19,,"March 16, 1966, 16:41:02 ( 1966-03-16UTC16:41:02Z ) UTC","10 hours, 41 minutes, 26 seconds",25°14′N 136°0′E ﻿ / ﻿ 25.233°N 136.000°E ﻿ / 25.233; 136.000 (25.233; 136.000),"Titan II GLV , s/n 62-12563",https://en.wikipedia.org/wiki/Gemini%208
Apollo 11,"Kennedy , LC‑39A",,"July 16, 1969, 13:32:00 ( 1969-07-16UTC13:32Z ) UTC (9:32 am EDT )","8 days, 3 hours, 18 minutes, 35 seconds",North Pacific Ocean ( 13°19′N 169°9′W ﻿ / ﻿ 13.317°N 169.150°W ﻿ / 13.317; -169.150 ﻿ ( Apollo 11 splashdown ) ) (13.317; -169.150),Saturn V SA-506,https://en.wikipedia.org/wiki/Apollo%2011
Apollo 15,"Kennedy , LC-39A",,"July 26, 1971, 13:34:00 ( 1971-07-26UTC13:34Z ) UTC","12 days, 7 hours, 11 minutes, 53 seconds",North Pacific Ocean 26°7′N 158°8′W ﻿ / ﻿ 26.117°N 158.133°W ﻿ / 26.117; -158.133 ﻿ ( Apollo 15 splashdown ) (26.117; -158.133),Saturn V SA-510,https://en.wikipedia.org/wiki/Apollo%2015
Apollo 17,"Kennedy , LC-39A",,"December 7, 1972, 05:33:00 ( 1972-12-07UTC05:33Z ) UTC (12:33 am EST )","12 days, 13 hours, 51 minutes, 59 seconds",South Pacific Ocean ( 17°53′S 166°07′W ﻿ / ﻿ 17.88°S 166.11°W ﻿ / -17.88; -166.11 ﻿ ( Apollo 17 splashdown ) ) (-17.88; -166.11),Saturn V SA-512,https://en.wikipedia.org/wiki/Apollo%2017
Salyut 7,,,"19 April 1982, 19:45:00 ( 1982-04-19UTC19:45 ) UTC",,,Proton-K No. 306-02,https://en.wikipedia.org/wiki/Salyut%207
Soyuz 2,"Baikonur , Site 1/5",,"25 October 1968, 09:00 GMT",3 days,"Kazakh Steppe , Kazakhstan",Soyuz,https://en.wikipedia.org/wiki/Soyuz%202
Soyuz 39,Baikonur 1/5,,"22 March 1981, 14:58:55 ( 1981-03-22UTC14:58:55Z ) UTC","7 days, 20 hours, 42 minutes, 3 seconds",175 km SE of Dzhezkazgan,Soyuz-U,https://en.wikipedia.org/wiki/Soyuz%2039
STS-7,"Kennedy , LC-39A",,"June 18, 1983, 11:33:00 ( 1983-06-18UTC11:33Z ) UTC (7:33 am EDT )","6 days, 2 hours, 23 minutes, 59 seconds","Edwards , Runway 15",,https://en.wikipedia.org/wiki/STS-7
STS-41-C,"Kennedy , LC-39A",,"April 6, 1984, 13:58:00 ( 1984-04-06UTC13:58Z ) UTC (8:58 pm EST )","6 days, 23 hours, 40 minutes, 7 seconds","Edwards , Runway 17",,https://en.wikipedia.org/wiki/STS-41-C
STS-41-G,"Kennedy , LC-39A",,"October 5, 1984, 11:03:00 ( 1984-10-05UTC11:03Z ) UTC (7:03 am EDT )","8 days, 5 hours, 23 minutes, 33 seconds","Kennedy, SLF Runway 33",,https://en.wikipedia.org/wiki/STS-41-G
Soyuz 40,Baikonur 1/5,,"14 May 1981, 17:16:38 ( 1981-05-14UTC17:16:38Z ) UTC","7 days, 20 hours and 41 minutes",225 km SE of Dzhezkazgan,Soyuz-U,https://en.wikipedia.org/wiki/Soyuz%2040
STS-2,"Kennedy , LC-39A",,"November 12, 1981, 15:10:00 ( 1981-11-12UTC15:10Z ) UTC (10:10 am EST )","Achieved : 2 days, 6 hours, 13 minutes, 12 seconds Planned : 5 days","Edwards , Runway 23",,https://en.wikipedia.org/wiki/STS-2
STS-51-I,"Kennedy , LC-39A",,"August 27, 1985, 10:58:01 ( 1985-08-27UTC10:58:01Z ) UTC (6:58:01 am EDT )","7 days, 2 hours, 17 minutes, 42 seconds","Edwards , Runway 23",,https://en.wikipedia.org/wiki/STS-51-I
STS-8,"Kennedy , LC-39A",,"August 30, 1983, 06:32:00 ( 1983-08-30UTC06:32Z ) UTC (2:32 am EDT )","6 days, 1 hour, 8 minutes, 43 seconds","Edwards , Runway 22",,https://en.wikipedia.org/wiki/STS-8
STS-3,"Kennedy , LC-39A",,"March 22, 1982, 16:00:00 ( 1982-03-22UTC16Z ) UTC (11:00 am EST )","8 days, 4 minutes, 46 seconds","White Sands , Northrop Strip Runway 17",,https://en.wikipedia.org/wiki/STS-3
STS-51-F,"Kennedy , LC-39A",,"21:00, July 29, 1985 (UTC) ( 1985-07-29T21:00:00Z ) (5:00 pm EDT )","7 days, 22 hours, 45 minutes, 26 seconds","Edwards , Runway 23",,https://en.wikipedia.org/wiki/STS-51-F
Mir Aragatz,,,,,,,https://en.wikipedia.org/wiki/Mir%20Aragatz
STS-86,"Kennedy , LC-39A",,"26 September 1997, 02:34:19 ( 1997-09-26UTC02:34:19Z ) UTC","10 days, 19 hours, 22 minutes, 12 seconds","Kennedy, SLF Runway 15",,https://en.wikipedia.org/wiki/STS-86
STS-4,"Kennedy , LC-39A",,"15:00, June 27, 1982 (UTC) ( 1982-06-27T15:00:00Z ) (11:00 am EDT )","7 days, 1 hour, 9 minutes, 31 seconds","Edwards , Runway 22",,https://en.wikipedia.org/wiki/STS-4
STS-41-D,"Kennedy , LC-39A",,"August 30, 1984, 12:41:50 ( 1984-08-30UTC12:41:50Z ) UTC (8:41:50 am EDT )","6 days, 56 minutes, 4 seconds","Edwards , Runway 17",,https://en.wikipedia.org/wiki/STS-41-D
STS-61-A,"Kennedy , LC-39A",,"October 30, 1985, 17:00:00 ( 1985-10-30UTC17Z ) UTC (12:00 pm EST )","7 days, 44 minutes, 51 seconds","Edwards , Runway 17",,https://en.wikipedia.org/wiki/STS-61-A
Soyuz 3,"Baikonur , Site 31/6",,"26 October 1968, 08:34:18 GMT",3 days 22 hours 50 minutes 45 seconds,"Karaganda , Kazakhstan",Soyuz,https://en.wikipedia.org/wiki/Soyuz%203
Soyuz 4,"Baikonur , Site 31/6",,"14 January 1969, 07:30:00 GMT",2 days 23 hours 20 minutes 47 seconds,"100 km at the southwest of Karaganda , Kazakhstan",Soyuz,https://en.wikipedia.org/wiki/Soyuz%204
Soyuz 8,"Baikonur , Site 31/6",,"13 October 1969, 10:19:09 GMT",4 days 22 hours 50 minutes 49 seconds,"Kazakh Steppe , Kazakhstan",Soyuz,https://en.wikipedia.org/wiki/Soyuz%208
Soyuz 10,Baikonur 1/5,,"22 April 1971, 23:54:06 GMT","1 day, 23 hours and 46 minutes","120 km northeast of Karaganda , Kazakhstan",Soyuz 11A511,https://en.wikipedia.org/wiki/Soyuz%2010
Soyuz 5,"Baikonur , Site 1/5",,"15 January 1969, 07:04:57 GMT",3 days 54 minutes 15 seconds,"Ural Mountains at 200 km of the southeast of Kostanay , near Orenburg , Kazakhstan",Soyuz,https://en.wikipedia.org/wiki/Soyuz%205
Soyuz 21,Baikonur 1/5,,"6 July 1976, 12:08:45 UTC","49 days, 6 hours and 23 minutes","200 km at the southwest of Kokshetau , Kazakhstan",Soyuz 11A511,https://en.wikipedia.org/wiki/Soyuz%2021
Soyuz 5/4,"Baikonur , Site 1/5",,"15 January 1969, 07:04:57 GMT",3 days 54 minutes 15 seconds,"Ural Mountains at 200 km of the southeast of Kostanay , near Orenburg , Kazakhstan",Soyuz,https://en.wikipedia.org/wiki/Soyuz%205
apollo 9,"Kennedy , LC-39A",,"March 3, 1969, 16:00:00 ( 1969-03-03UTC16Z ) UTC","10 days, 1 hour, 54 seconds",North Atlantic Ocean ( 23°15′N 67°56′W ﻿ / ﻿ 23.250°N 67.933°W ﻿ / 23.250; -67.933 ﻿ ( Apollo 9 splashdown ) ) (23.250; -67.933),Saturn V SA-504,https://en.wikipedia.org/wiki/apollo%209
Soyuz 6,"Baikonur , Site 31/6",,"11 October 1969, 11:10:00 GMT",4 days 22 hours 42 minutes 47 seconds,"180 km at northwest of Karaganda , Kazakhstan",Soyuz,https://en.wikipedia.org/wiki/Soyuz%206
Soyuz 36/35,Baikonur 31/6,,"26 May 1980, 18:20:39 ( 1980-05-26UTC18:20:39Z ) UTC","65 days, 20 hours, 54 minutes, 23 seconds",140 kilometres (87 mi) SE of Dzhezkazgan,Soyuz-U,https://en.wikipedia.org/wiki/Soyuz%2036
Soyuz 7,"Baikonur , Site 1/5",,"12 October 1969, 10:44:42 GMT",4 days 22 hours 40 minutes 23 seconds,"155 km at the northwest of Karaganda , Kazakhstan",Soyuz,https://en.wikipedia.org/wiki/Soyuz%207
Soyuz 16,Baikonur 1/5,,"2 December 1974, 09:40:00 UTC","5 days, 22 hours and 23 minutes","30 km (19 mi) of the northeast of Arkalyk , Kazakhstan",Soyuz-U,https://en.wikipedia.org/wiki/Soyuz%2016
Soyuz 11,"Baikonur , Site 1/5",,"04:55:09, 6 June 1971 (UTC) ( 1971-06-06T04:55:09Z )","23 days, 18 hours, 21 minutes, 43 seconds","90 km (56 mi) southwest of Karazhal , Karaganda Oblast , Kazakh SSR , Soviet Union ( 47°21′23″N 70°07′16″E ﻿ / ﻿ 47.35639°N 70.12111°E ﻿ / 47.35639; 70.12111 ) (47.35639; 70.12111)",Soyuz,https://en.wikipedia.org/wiki/Soyuz%2011
Soyuz 24,"Baikonur , Site 1/5",,"7 February 1977, 16:11 UTC",17 days 17 hours 26 minutes,"37 km at the northeast of Arkalyk , Kazakhstan",Soyuz-U,https://en.wikipedia.org/wiki/Soyuz%2024
Soyuz 37/36,Baikonur 1/5,,"July 23, 1980, 18:33:03 ( 1980-07-23UTC18:33:03Z ) UTC","79 days, 15 hours, 16 minutes, 54 seconds",180 kilometres (110 mi) SE of Dzhezkazgan,Soyuz-U,https://en.wikipedia.org/wiki/Soyuz%2037
Skylab 3,Kennedy LC-39B,,"July 28, 1973 ; 52 years ago ( July 28, 1973 )","59 days, 11 hours, 09 minutes, 01 seconds",30°47′N 120°29′W ﻿ / ﻿ 30.783°N 120.483°W ﻿ / 30.783; -120.483 (30.783; -120.483),Saturn IB SA-207,https://en.wikipedia.org/wiki/Skylab%203
Soyuz 18,"Baikonur , Site 1/5",,"24 May 1975, 14:58:10 UTC",62 days 23 hours 20 minutes 8 seconds,"56 km at the east of Arkalyk , Kazakhstan 51°N 68°E ﻿ / ﻿ 51°N 68°E ﻿ / 51; 68 (51; 68)",Soyuz-U,https://en.wikipedia.org/wiki/Soyuz%2018
Apollo 14,Kennedy LC-39 A,,"January 31, 1971, 21:03:02 ( 1971-01-31UTC21:03:02Z ) UTC","9 days, 1 minute, 58 seconds",South Pacific Ocean 27°1′S 172°39′W ﻿ / ﻿ 27.017°S 172.650°W ﻿ / -27.017; -172.650 ﻿ ( Apollo 14 splashdown ) (-27.017; -172.650),Saturn V SA-509,https://en.wikipedia.org/wiki/Apollo%2014
Soyuz 33,Baikonur 1/5,,"April 10, 1979, 17:34:34 ( 1979-04-10UTC17:34:34Z ) UTC","1 day, 23 hours and 1 minute",320 km (200 mi) SE of Dzhezkazgan,Soyuz-U,https://en.wikipedia.org/wiki/Soyuz%2033
STS-151-C,,,,,,,https://en.wikipedia.org/wiki/STS-3
Skylab-2,,,,,,,https://en.wikipedia.org/wiki/Skylab-2
STS-6,"Kennedy , LC-39A",,"April 4, 1983, 18:30:00 ( 1983-04-04UTC18:30Z ) UTC (1:30 pm EST )","5 days, 23 minutes, 42 seconds","Edwards , Runway 22",,https://en.wikipedia.org/wiki/STS-6
